Input,Output
"""- 3 -3 7 -4 3 -1""",1
"""* 1 7 2 -4""",-56
"""/ 6 -9 0 9 -2 -4 3 0""",null
"""+ 7 -1 -1""",5
"""+ 9 5 -6 1 3 -9""",3
"""* -9 7 4 -8 -4 -1 6""",48384
"""* 8 -3""",-24
"""- 5 8 8 -6 2 3 -9 6 0""",-7
"""/ -9 3 3 -6 -2 -1 4 -8 2""",-0.0
"""+ 0 9""",9
"""/ 3 7 0 -7 7 5 -3 -6""",null
"""* 5 -8 7 -3 0 1 -2 -3""",0
"""+ -4 -2""",-6
"""+ 8 5""",13
"""/ -5""",-5
"""* -3 -4 6 3""",216
"""+ 1 9 -5 2 1 -9""",-1
"""+ 9 -8""",1
"""+ -3""",-3
"""/ -8 3 4 -8 -5 6 0 5""",null
"""/ -6 -5""",1.2
"""/ 4""",4
"""- 0 -6 -1 -1 -2 -4""",14
"""+ -7 9""",2
"""/ 5 -7 7 -6 5 -7 -2 -7 -1""",0.0
"""* 3 7 -4""",-84
"""* 1 -5 -9""",45
"""- 9 -6 1 -2 -3 -2 1 8""",12
"""+ 7 1 -2 1 -7 -3""",-3
"""+ 9""",9
"""/ -7 0 6 6 3 6 0 9 9""",null
"""+ -6 -1 3 -3 5 -9 -2""",-13
"""/ 3 -9 4 8 -6 -9 3 3""",-0.0
"""/ 3 7 -9 -2 -8 -5 -1 0""",null
"""+ 5 9""",14
"""+ -5 -9 -8 -9 -7 6 2""",-30
"""* 2 -8 -8 4 1""",512
"""+ 4 -2 8 -9 2 3 4 -7 3""",6
"""/ 3 4 -1 3""",-0.25
"""/ 0 -5 4""",-0.0
"""- 2 -5""",7
"""/ -3 1""",-3.0
"""* 8 -6 -8 -3""",-1152
"""/ -4 -5 -2 -2""",0.2
"""+ 7 7 6 -9""",11
"""- -9 4 0""",-13
"""+ 8 4 3 -5 -3""",7
"""- 9 -9""",18
"""+ -6 4 -6 4 6 -7 9 -7""",-3
"""/ -6 -9 -3 -9 7 6 -2 1""",-0.0
"""- -4 -2 -7 -6 -6 -2 6 -5 3""",15
"""- 2 -7 -8 9 -7 -4 -6""",25
"""+ 0 9 -2 -3 -9 -8 1 -4""",-16
"""+ 3 0 6 3 -8 3 9""",16
"""/ 4 8 -9""",-0.06
"""* -9 6""",-54
"""* -5 2 6 6""",-360
"""+ 9 -2 -1 5 -2 6""",15
"""+ 0 -3 5 -6""",-4
"""+ 6 -1 6""",11
"""/ -7 -7 1 -9 5 9 3 -4 7""",0.0
"""+ 2""",2
"""+ 7 -9 0 -8 5 2 6 5""",8
"""* 5 1 5 6 3""",450
"""+ -6 -8 2 -6 0 3 1""",-14
"""- -6 2 -8 4 -9 1""",4
"""* -9 -9 8 -4 -6 9 -5 -3 3""",6298560
"""- -3 -9 0 0 -5 5 -3""",9
"""- -2 1 2 9 7""",-21
"""+ -3 0 6 -3 -9 2 -5 0 3""",-9
"""* -4 6 3 0 8 -8""",0
"""* -1 6""",-6
"""+ 7 -6 -3 7 -9 2 1 -5 4""",-2
"""* 9 -6 0 -4 -6 -4 -9 7 -8""",0
"""* 0 8 3 -5 3 -5 2 0 -8""",0
"""/ 0 3""",0.0
"""+ -4 4 -9 -7""",-16
"""- 6 2""",4
"""- 7 -2 -1 5""",5
"""* -9 7 1""",-63
"""+ -9 4 6 3 -1 2""",5
"""- -5 0 9 -5""",-9
"""* 8 3 -5""",-120
"""* -1 -1 6""",6
"""- -4 7 -9 -7""",5
"""* -8 -1 1 9 7 -6 9 3 6""",-489888
"""- 8 -7 7 -8 9""",7
"""- 1""",1
"""- 0 3 -3 9 5 6 -5 3""",-18
"""+ 4 1 2""",7
"""+ -7 -1 -1 2 5 -8 2 -7""",-15
"""/ 8 0 -3 -9 -9 -3 6 -8""",null
"""- 5""",5
"""- -5 9 -8 -2 2 7 -1 -4 0""",-8
"""- -8 3 0 4 -2 3 -7 0 6""",-15
"""/ -6 2 2 8 1 -9 0 5""",null
"""* -3 7 -9 1""",189
"""* 9 -2 -6 5 -2 -7 9""",68040
"""/ -5 1 -8 9 1""",0.07
"""/ 8 3 -2 -9 -2""",-0.07
"""- 7 -9""",16
"""* 7 4 -1 9""",-252
"""* -8 4 -7 -2""",-448
"""- -1 8 7 3""",-19
"""/ -3 9 6 6 6 8 9 -6 1""",0.0
"""/ -9 -8 6 4""",0.05
"""- -4 -6""",2
"""* 0 0""",0
"""- 1 3 -4 8 -4 7 8 -2""",-15
"""/ -5 -2 3 -9""",-0.09
"""- 8 -7 -3 4 5 5 -2 -9""",15
"""+ 3 -8 3 1""",-1
"""+ -1 4 7 -7 6 2""",11
"""- -1 7 -4 0 1 -5 -1 -2""",3
"""+ -2 -4 3 9 4 9""",19
"""- 5""",5
"""+ -3 9 -8 -5 0 -8 0""",-15
"""* 0 7 -7""",0
"""/ 5""",5
"""+ -6 -6 -4 -9 -9""",-34
"""- -6 4 -4""",-6
"""+ 4 5 -6 -9 7 -8 9 -1""",1
"""+ 4 7 -2""",9
"""+ 9 -9 -4 5 9 4 -8 -1""",5
"""- -9 5 2 -1""",-15
"""+ 6 2""",8
"""- -5 -6 -4""",5
"""+ -7 4 6 -9""",-6
"""+ -4 -9 -1 1 0 1 -9 -7""",-28
"""+ -8 9""",1
"""+ 4 6""",10
"""+ -5 3 -2 -8 6 -4 -7""",-17
"""/ -7 1 5 -5 -9 4 5 7""",-0.0
"""+ -5 -3 -4 4 -5""",-13
"""+ 9 -5 9 -6""",7
"""/ 4 8 -2 7 4 3""",-0.0
"""* -7 8""",-56
"""+ 2 8 1""",11
"""/ -9 4 9 -4 -7 -6 -8 -4 -8""",-0.0
"""* 4 4 3 -8""",-384
"""/ 6 1 -2 9 6 -6""",0.01
"""* -5 -4 -7 8 3 0""",0
"""/ 4""",4
"""* 7 4""",28
"""+ -3 -1 -4 7 -6 -1 -5 -8""",-21
"""/ -8 -9 -7 -1""",0.13
"""* 0 -7 5 8 2 9 3 9""",0
"""- 9 5 7 -4 0 -3""",4
"""* -2 3 -1""",6
"""/ -1""",-1
"""+ -7 -9""",-16
"""+ -9 5 -8""",-12
"""- 1 -9 -2 6 -4 -8 -1 8 -4""",15
"""- 7 8 6""",-7
"""/ -7 -4""",1.75
"""/ 1 0 -8 -5 3 -7 -7""",null
"""/ 0 -2 -6 -2""",-0.0
"""+ 8 4 -7 -7 -9 8 8""",5
"""+ 9 5 -9 2 -6 -6 -8""",-13
"""- -1 9 -5""",-5
"""* -3 -6 3 -4 3 5 0 -7 1""",0
"""* 6""",6
"""- -2 -2 -3""",3
"""+ -2 -3 -9 -8 2 -3 -5""",-28
"""/ -7 -6 -4 -3""",0.1
"""+ -7 5 1 5 -6 -4""",-6
"""* 5 -7 -4 3 5 -5 7 -5""",367500
"""- 2 9""",-7
"""/ 4 6 5 9 2 8 0 7 1""",null
"""* -6 -4 5 -8 -5""",4800
"""- 8 7 -3 7 2 4""",-9
"""/ -6 5 4 1 -7""",0.04
"""* 4 -6 -9 6 3""",3888
"""/ -7 -5 -7 -8""",0.02
"""+ -5 9 3 -7 -5 6 -9 -7""",-15
"""/ 5 0 0 -5 -1 6 5 -4""",null
"""- 8 3 5 -4 -9 5 -8 5""",11
"""+ -2 -3 -3 -9 0 -9""",-26
"""- 4 6""",-2
"""+ -3""",-3
"""* 4 -6 4 7 0 9 -3""",0
"""- -9 7 4 6 6 -5 -1""",-26
"""* 0 -3 7 -3 0""",0
"""* -8 0 -7 1 4 -6 0""",0
"""+ -1 -2 8""",5
"""+ 7 -3 5 -2 -9""",-2
"""+ -7""",-7
"""+ 2 3 -5""",0
"""* -9""",-9
"""/ 2 -2 5""",-0.2
"""+ -2 -2 -7 0 -4 5 -1 7""",-4
"""+ -4""",-4
"""* 5 2 -9""",-90
"""+ 2 -7 0 -5 -7 -6 4 6 -5""",-18
"""/ -3 -6 0 9""",null
"""* -4 6""",-24
"""+ 5 -8 7 -2""",2
"""+ 9 7 -1 2""",17
"""/ 7 -5""",-1.4
"""+ 8 1 -3 -7 -6 -3 5 -6""",-11
"""+ 7 -2 -4 7 -2 -4 9 6""",17
"""* 6 -3 -5 -9 -2 -9 6 -8 4""",2799360
"""- -1 5 -8 -2 4 -3""",3
"""+ 4 -3 -4 -6 -3 7 9 6""",10
"""* 5""",5
"""+ 4""",4
"""/ 1 0 -7 -4""",null
"""/ 5 -6 -6""",0.14
"""- -7 -6 -3 3 -3 5""",-3
"""+ 6 -2 -7 7 8 -1 -1""",10
"""* 2 -1""",-2
"""- 8 -8 9 6 -6""",7
"""- 7""",7
"""- -4 -6 3 3 -8""",4
"""- 5 2""",3
"""+ -1""",-1
"""* 0 8 -2 5""",0
"""/ -2 -8 -8 -9 9""",0.0
"""- -5 1 -2""",-4
"""/ -4 -2 2 -5 -8 2 -5 -3""",0.0
"""+ 3 4 -4 -9 -7""",-13
"""+ -7 -4 -9 6 1 4 -3""",-12
"""/ 4 8 7 5""",0.01
"""/ -8""",-8
"""/ -6 -7 -2 1 9""",-0.05
"""- -5""",-5
"""* 3 -6 1 -9 -2""",-324
"""/ -1 -4 -7 8 6 5 9""",-0.0
"""* -3""",-3
"""* -3""",-3
"""+ -4""",-4
"""- -9 6 7 9 -6 3 -6 9 3""",-34
"""+ 6 -9 -3""",-6
"""- 6 3 -2""",5
"""- -7 7 9 8 9 -7""",-33
"""/ -7 9 5 -1 -3""",-0.05
"""+ 7 0 9 0 5 -5 -4 5""",17
"""/ -1 8 0 1 4 -3 9""",null
"""+ -6 5 9 6 6 -8 -1 -6""",5
"""* -2 -7 -9 -3 3 5 8 -1 5""",-226800
"""/ -7 1 -8""",0.88
"""/ -7 6 6 5 9 4 9 -1""",0.0
"""* -7 5 -5 1 -2""",-350
"""* 9""",9
"""* 4""",4
"""* -9 -5 -6 2 8 -4 -3 0 0""",0
"""+ -3 1 -2 -7 -7 -2 -1 7""",-14
"""+ 1""",1
"""- -7 -3 6 -9 3 -1 -3 0""",0
"""- 0 -3""",3
"""* 0 -1 -2 2 -5 3 -5 4""",0
"""* -3 -7 -3 0 8 5 -9""",0
"""/ 6 -7 -5 -6 -3""",0.01
"""* -4 5 -9 2 4 8 -4 6 -1""",276480
"""* -7 -7 7 7 -5 -4""",48020
"""* -2 7 -9 1""",126
"""/ 0 -7 0 6 1""",null
"""* 1 -4 9 6 -9 -3 -8 5""",233280
"""* 3 -7 6""",-126
"""+ 0 -6 -3 -6 -9 -1 3""",-22
"""- -6 4 -5""",-5
"""* -1 -1""",1
"""+ 5 2 4 5""",16
"""/ -6 2 3 4 -6""",0.04
"""+ -3 -6""",-9
"""/ -3 -8 -3 -5""",0.03
"""* -2 4 -9 -3 -7 1""",1512
"""- -2""",-2
"""- -9 7 -8 0 -9""",1
"""+ 6 6 -7 -6 -9""",-10
"""- -5 2 0 -2 4 -3 5 9 -3""",-17
"""* 6 -5 -4 7 -1""",-840
"""- -3 6 -7 2 0 8 -5 9 -4""",-12
"""- -3 8 -4""",-7
"""+ 8 5 4 2 4 -1 -2""",20
"""+ 5 -4 -9 1""",-7
"""+ 0 3 5 2 -5 6 4 -2""",13
"""* -5 5 7 -7 4 6 -7""",-205800
"""+ 9 -1 9""",17
"""+ 7 -4 -3 5 4 3 3 -8 8""",15
"""* 4 5 -1""",-20
"""/ 7 6 8""",0.15
"""+ 3 -9 -2""",-8
"""- 6 -3 -1""",10
"""/ -1 4 2 -7 5""",0.0
"""- 4 2 -8""",10
"""/ -4 -6 6 2 7 -2 -3""",0.0
"""/ 7 -4 6 2 9 -4 3""",0.0
"""+ -4 4""",0
"""- 4 3 -4""",5
"""/ 0 4 0""",null
"""* -6 -8 1 8""",384
"""- 7 7 -3 6 3""",-6
"""/ 6 1""",6.0
"""* -9 -9 -8 4 4""",-10368
"""- -8 -6 6 -6 6 7 1 3""",-19
"""- 1 -7 6 -4 4 7""",-5
"""* 5 7 -7""",-245
"""- -5 -4 2 -7 5 -6 0""",5
"""* -7 -9 6 -9 1""",-3402
"""+ -5""",-5
"""/ -5 -1 -3 5 -7 9 0""",null
"""/ 7 -1 0 6 -7 5""",null
"""+ -6 1 -5 -7""",-17
"""+ -5 3 4 6 3 4 -4 -1""",10
"""- 4""",4
"""/ 8 -4 -8 -9 7""",-0.0
"""+ -5 -1 3 2""",-1
"""* 2 5""",10
"""+ 7""",7
"""/ -1 1""",-1.0
"""* -1 -6 0 2 6 7 8""",0
"""/ 8 -5 -4 -3""",-0.13
"""/ 7""",7
"""* -7 -8 1 -9 1 -9 5""",22680
"""- 4 -5 6 8 -3 3 7 5 -7""",-10
"""* 5 9 -1 0 8 -3 8 7""",0
"""+ 1 0 4""",5
"""* 9 -3 4 -1 -3 5 -1 4 -7""",-45360
"""+ 1 6 -7 3 -4 -9 -8""",-18
"""+ 2 3 3 2""",10
"""+ -3""",-3
"""* 1""",1
"""- 6 1 7""",-2
"""* 7""",7
"""* 9 6 -5 4 3 -2 -8 1 3""",-155520
"""+ 2 -3 -4 -3 -8 2""",-14
"""* -3""",-3
"""- -3 -9 -7 1 -2""",14
"""+ -7 -7 -3""",-17
"""+ -3 9 -6 -1 -4 -2 -8""",-15
"""/ -3 7 5 -2""",0.04
"""- 0 9 3 8 -5 -2 -2 3""",-14
"""- -2 2 6 -8 -8 -8""",14
"""/ 5 -1 -1 -3 6""",-0.28
"""/ 0 -1 -3 5 -1 -2""",0.0
"""* -5 3 7 -1 -3 8""",-2520
"""+ 5 9 9""",23
"""- 5 -7 1 -7 5 3 9 -5""",6
"""- 8 -8 -2 9 6 6 -7 -5""",9
"""* 7 1 -7""",-49
"""- 8""",8
"""/ -3 0 0 -1 0 -7 9 -1""",null
"""- 4 -3 4 2 -5""",6
"""+ 6 2""",8
"""- 1 7 -8 -8 -1 6""",5
"""+ -7 7 -5 -5 4 -1 -5 0 1""",-11
"""- -7 0 -7 2 -2""",0
"""- 1 -2 6 7""",-10
"""* 5 -8 5 1""",-200
"""+ -6 1 2 -4 -2 9""",0
"""+ 6 -2 -1 -5 -8 -2 8 -2 4""",-2
"""/ -8 3 -2 5 0 -6 -1 1 2""",null
"""/ -3 -4 5 7 -7 -9""",0.0
"""- -2 -9 -4 -3 2 -6 -1 2 4""",13
"""/ 6 3 5 0 3 -6 7 -7 8""",null
"""+ -5 -2 -4 -7 5 6 -9 2 -6""",-20
"""- -2 3""",-5
"""* 5 6 -8 0""",0
"""- 4 -4""",8
"""* -9 -9 0 2 -2 -2 1 1""",0
"""* 1 5 -4 0 5 1 -1 6""",0
"""- -1 3 4 -9""",1
"""* 1 -7 -1 -4 4 -1 1 -7""",-784
"""- -8 -2 -3 8 2 9 6""",-28
"""+ 5 -5 -4""",-4
"""* -2 2 -8 -1 -8 -2""",-512
"""- -1 9 0 1 6 2 3 8 8""",-38
"""/ 6""",6
"""- -6 1 3""",-10
"""/ 1 2 6 0 0""",null
"""- 1 -3 5 -6 -5 -6 0""",16
"""- -7 5 -9 6 -8""",-1
"""* -7 -3 3""",63
"""- 9 -2""",11
"""/ 7 -7 -9 -3 -4""",0.01
"""/ 9 -2 7 -4 3 -4 5 7 0""",null
"""+ 3 8 2 7""",20
"""/ 5 7 -2 7 7 4 3""",-0.0
"""- 2""",2
"""- 5 -9""",14
"""/ -2 6 -9""",0.04
"""- 4 -6""",10
"""* -6 9 -4 7 2 -4 9""",-108864
"""+ -3 6 4 6 -6 -9 -2 -7""",-11
"""+ 4 1 5 -5 2 -6 0 -5""",-4
"""* 3 0 -3 9 7 -8 -6 -4""",0
"""+ -6 8""",2
"""/ -9 2 9 -4 3 1 -6""",-0.01
"""- -6 0 -6 -4""",4
"""/ -9 8 -2 -6""",-0.09
"""/ -4 6 8 4 -1 -7""",-0.0
"""/ -3 9 -7 4 9 2 0 9""",null
"""+ -2 0 -1 -5 4""",-4
"""/ 2 5""",0.4
"""+ -4 -7""",-11
"""+ 2 7 -1""",8
"""* -2 5 -5 -6 1 -4 3""",3600
"""+ -7""",-7
"""- -6 -2 9""",-13
"""/ -6 -7 -6 -4 -8 3 7 -4 6""",0.0
"""* -6 3""",-18
"""/ -5 -1 8 -4 -9 -3""",-0.01
"""/ -7 7 8""",-0.12
"""/ 8 0 3""",null
"""* 2 -4 3 -4""",96
"""+ 7 0 4 5 7 -3 -9""",11
"""/ 5 8 -7 -1 -4 4 -1 1""",0.01
"""/ 9 -4 9 1 -5 -4 2 0""",null
"""+ -1 5""",4
"""- 4 9 -3""",-2
"""/ -3""",-3
"""+ 9 2""",11
"""- 9 -2 2 -7 7 -1 4 -2 2""",6
"""/ 2 8 0 -5 -5 1 -7 3""",null
"""+ 9 9 5 -4 9""",28
"""+ 7 -9 -7 1""",-8
"""+ 6""",6
"""- -5 -4 0""",-1
"""+ -2 -3 4 6 -6""",-1
"""* 3 3""",9
"""/ -6 -7""",0.86
"""* -1""",-1
"""/ -2""",-2
"""+ 4 -5 2 6 -2 -2 -2""",1
"""* 6 1""",6
"""* 1""",1
"""- 5 -8 -6 -3 -3 -8 4 -2""",31
"""/ 2 3 -9 -5 9 4""",0.0
"""/ 2""",2
"""- -4 8 7 0""",-19
"""- -2 -8 5 -1 5 -1""",-2
"""- 4 1 -9""",12
"""- 3 -5 -8 7 -2 2""",9
"""+ -3 4 -8""",-7
"""- -6 0 2 -9""",1
"""- 0 4 0""",-4
"""- 7 -6 -3 -1 -4""",21
"""* 1 3 -3 -7 6""",378
"""+ -4 7 0 1 4 -4 -2 -7 3""",-2
"""+ -6""",-6
"""- 1 0 2 4 -1 8 3""",-15
"""/ -1 -6""",0.17
"""/ -6 3 8 -2 6""",0.02
"""- 5 -9 0 0 1 -1 -9 -1 0""",24
"""- -7""",-7
"""+ -8 -1 8""",-1
"""- -9 9 -4 5 -5""",-14
"""* 7 0 -8 -3""",0
"""* 5 -8 5 8""",-1600
"""- -6 9 3 -3 9""",-24
"""- -4 -3 -2 2 6 5""",-12
"""* -8 -6 -6""",-288
"""- -6""",-6
"""/ 2 3 -8""",-0.08
"""- 0 -2 -8 1 0 -6""",15
"""- 4 1 7 8 7 -2 0""",-17
"""* -9""",-9
"""- -9 3""",-12
"""- 5""",5
"""* -4 6 9 8 8 2 -1 6 -6""",-995328
"""+ -8 -9 -5 1 2 -3 -1""",-23
"""- 4 -6 -3 -9 -8 9 -6 -3 -6""",36
"""* -9 -8""",72
"""+ 9 -2 3 -5 -9 3 -6 0""",-7
"""/ -4 3 3 -2 -3""",-0.07
"""/ -7 5 -8 -2""",-0.09
"""/ -9 5 2 -4 -9""",-0.03
"""- 0 9 -2""",-7
"""/ 4 4 -9 -1 -9 3""",-0.0
"""- -1 8 7 0 -5 -1 7""",-17
"""/ -9 9 9 8 -9""",0.0
"""* 3 -7 3""",-63
"""- -1 -7 -2 6 -7""",9
"""+ 9 4 3 3 0 -6 -1""",12
"""* -7 -6 1 7""",294
"""- 2 3 5 9 4 7 -3""",-23
"""- -9 -2""",-7
"""+ 9 1 -7 -2 -9 8 8 5""",13
"""* 8""",8
"""* -8 1 -7 3 1 -5""",-840
"""+ 4 6 -8 2""",4
"""- 3 2 -2 -3 -3 -8""",17
"""/ 2 1 0 1""",null
"""/ -8""",-8
"""* 9 -1""",-9
"""/ -1 7""",-0.14
"""+ 6 -3 6 -4 -5 3""",3
"""* -2 4 6""",-48
"""/ -2 3 -6 -7 -3 -6 -3 5""",0.0
"""/ 7 -2 4 -3 -3""",-0.1
"""+ -7 3 -7 -4 -1""",-16
"""* 6 1 0""",0
"""- 1""",1
"""* -2 7 3 7 3 5 0 2 -8""",0
"""- 8""",8
"""- -5 7 -7 3""",-8
"""* -8 1 -1 -9 -5 5 -8 8 2""",-230400
"""* -5 2 -5 -1""",-50
"""- 0 3 -8 -3 -7 9 7 4 -8""",3
"""* 4 -1 -5 5 -1 9""",-900
"""* -3 4 5 0 9 2 -6""",0
"""* -8 9""",-72
"""- 1 7 5 1 -4 4 7""",-19
"""* -5 -9 -1 6""",-270
"""+ -1""",-1
"""+ -7 -6 0 9 2 2 -3 6""",3
"""/ -1 2 -3 2 -8""",-0.01
"""/ 7 -1 4""",-1.75
"""- 3 9 8 0 -9 6 -5 -7 5""",-4
"""+ 4 -8 -1 5""",0
"""/ 2""",2
"""+ -1 -3 4""",0
"""/ 7""",7
"""/ -6 6 -2 -1""",-0.5
"""* -7""",-7
"""+ 7 9 8 0""",24
"""* 7 -2 6 1 4 -8 -1 7 2""",-37632
"""/ 1""",1
"""* -9 -2 -8 -8 -3""",-3456
"""- 0 -1 -1 2 1 2""",-3
"""/ -8 -5 -5 5""",-0.06
"""+ 6 7""",13
"""* -1 9""",-9
"""* -9 0""",0
"""/ 4 -5 7 8 -3""",0.0
"""* -9 5 -1 -2 -5 4""",1800
"""+ -8 -6 -6 -7 -8 0 3""",-32
"""/ -4 -2""",2.0
"""* 3 -9 -3 -2 0 1 -9""",0
"""- 8""",8
"""/ 8 3 -9 -1 -9 2 8 7""",-0.0
"""+ -3 -2 -3 -9 7 0 6 3 9""",8
"""* 6 9 -1 -8 9 -8 8""",-248832
"""- 5 1 -6 1""",9
"""* 9 3 5 7 -8 -5""",37800
"""* 9 6 8 6""",2592
"""* -1 6""",-6
"""+ 7 0 -3 -8""",-4
"""* -4 4 8 -1 2 -1 6 -5 -9""",-69120
"""+ 2 6 -4 6 -9 5""",6
"""* 9 -4 8 9 -9 4 9""",839808
"""* 7""",7
"""- 6 -5""",11
"""/ -4 -7 1 8 0""",null
"""- 1 3 -1 -9 4 -9 -5""",18
"""* 8 -3""",-24
"""/ 7 -9""",-0.78
"""* 4 -9 0 -7 -3 5 2 -8""",0
"""- 5 1 -5 1""",8
"""* -6 9 6 9""",-2916
"""/ -8 4 0 8 5 5 9 3 -5""",null
"""* -5 1 1 8 -1 1""",40
"""+ 4 -8 -1 2 -1 7 -9""",-6
"""+ -9 -1 -6 5 8""",-3
"""/ -1 3 -8 -8""",-0.01
"""+ 7 4 8 6 -8""",17
"""/ 4 9 3 1 9 0 3""",null
"""+ -8 0 8 4 -3""",1
"""- 2""",2
"""* -1 -8""",8
"""- 2 -7 9 4 7 -6 -7 2 8""",-8
"""/ 6 -7""",-0.86
"""- 1 5 3 -3 5 4 -6 3 2""",-12
"""- -9 -7""",-2
"""+ 4 -7 3 -1 -9 -3 -6 8 8""",-3
"""- -5 3""",-8
"""+ 1 7 -2 2 -2 3""",9
"""- 2 8 -2 -8 4 -7 9 -6 5""",-1
"""* -5 9 -2 -2 -8 -8""",-11520
"""+ 8 5 9 -4 -2 7 2 -3 6""",28
"""* -7 -1 0""",0
"""+ 1 2 9 -9 -9 -6""",-12
"""* 1 2 -3 0 2 3""",0
"""/ 9 6""",1.5
"""- 3 -1 2 1 -8""",9
"""- -2""",-2
"""- -9""",-9
"""- -5 -4""",-1
"""/ 8 5 1 2 -6""",-0.13
"""- -7 3 -4 -9""",3
"""- 6 -7 1 3 4 -2""",7
"""/ -8 -2 -5 7""",-0.11
"""- 0 3""",-3
"""- 7 -7 7 -4 -2 -1 0""",14
"""/ -4 2 6 8 3 1 -1 4 -6""",-0.0
"""+ 6 -3 -1 4""",6
"""- 8 -8 -6""",22
"""+ -1""",-1
"""+ 7 -2 3 9 -9 2 9 -8 -4""",7
"""/ -1 7 -8""",0.02
"""- -8""",-8
"""+ 2 -5 4 4 -8 6 -8""",-5
"""/ 8 -9 -7 -3 8 4 8 -5""",0.0
"""- -8""",-8
"""/ 8 3 5 -3 4 -7""",0.01
"""- 8 -5 8""",5
"""* 5 -8 -1 -1 -6 -1 3 3""",-2160
"""+ 5 5 3 -5 -1 -7 1""",1
"""+ 5 -3 -1""",1
"""- -6 7 9 0 6 9 2 -2""",-37
"""- -8 -1 -8 -9 5 -5 7 -3 0""",6
"""- 5 3""",2
"""* 0 -9 -4""",0
"""/ -5 -4 -2""",-0.62
"""* 6 -7 5 -3 -1 -9 5""",28350
"""+ 9 1 9""",19
"""* -5 -2 4 -1 3 -5 2 -3""",-3600
"""+ -4 1 -1 8 1 6 6 -5""",12
"""* -5 -6 -7 -3""",630
"""+ -7 8 -3 -2 1 -5 -4 6 4""",-2
"""+ 2 -2 -7""",-7
"""* 8""",8
"""/ -3 -9 9 -7 3 4 -1 4 5""",0.0
"""* -2 -4 3 6 6 4 3 1 7""",72576
"""+ 6 8 -7 -3 7 -1 -8 7""",9
"""* 1 8""",8
"""* -5 2 -3 -5 0 4 8 7 1""",0
"""* -5 3 8 -7 8""",6720
"""/ 8""",8
"""- -2 7 2 7""",-18
"""+ 4 -9 0 -6 4 8 -8""",-7
"""- -9 -7 5 -5 -9 -9 -4 -7""",27
"""+ -1 7 9 -7 1 7 -9 -6""",1
"""* 3 -3""",-9
"""/ 3 3 0 7 -1""",null
"""- -7 -1""",-6
"""- 0 1 -3 1 1 5 -6""",1
"""* 6""",6
"""/ 6 9 8 -8 -2 6""",0.0
"""* -5 6 -8 -4 -6 3 9 5""",777600
"""- 4 6""",-2
"""+ 5""",5
"""* 6 9 -3 9 7 9 8""",-734832
"""/ 1 -9 -4 0 4 -8 -3""",null
"""+ 5""",5
"""- -3 7 7 -6 -9 -8 -8 5""",9
"""/ -2 2 1 4 5 4 6""",-0.0
"""- -6""",-6
"""/ 1 5 1 8 8 2 0 2 -9""",null
"""/ 9 2 0 4 -8""",null
"""+ 6 6 2 2 -8 -2""",6
"""* -4 -8 1 -9 0 0 3 3 -2""",0
"""/ -6 -3 -9 4 6 1 1 3""",-0.0
"""- -1 1 -1""",-1
"""- 5 4 -9 5""",5
"""* -8 0 2 -5""",0
"""/ 2 0 8 2 3 -6""",null
"""/ 7 -8 3 -9 -5 3 1""",-0.0
"""/ 7 -2 0 -5 -2 -8 7""",null
"""+ 2 6 -5 8""",11
"""- 1""",1
"""* 6 3 9 6 6 -6""",-34992
"""+ -8 6 -3""",-5
"""+ 8 1 -9 -7""",-7
"""+ 2 3 2 -4 -9 2""",-4
"""+ -5 -7 -4 -3 -6""",-25
"""- 0 -3 8""",-5
"""+ -9 0 -7""",-16
"""- 0 6 -7 1 2 -7 3""",2
"""* 5 6 8 -6 1 -9 -7""",-90720
"""+ -7 -9 -5 2 -6 4 -1 3 -3""",-22
"""+ 0 -5 -8 -9 5""",-17
"""* 8 5 -6 -8 9 5""",86400
"""/ 1 2 -9 5 1 4""",-0.0
"""+ 2 5 -3 5 3 1 -7 -1 -7""",-2
"""- 7 3""",4
"""* 6""",6
"""+ 1 8""",9
"""* -2 -9 1 3""",54
"""- 1 -8""",9
"""/ 7 -2 1 5 2 9 0""",null
"""- -8 -5 -3""",0
"""+ 4 -5 1""",0
"""+ -4 3 -6 8 7 -9 4 2""",5
"""+ 0 0 -8 4 1 5""",2
"""+ 6 4 2 0 -8 -1 -4""",-1
"""+ 4 -9 -5 2 6 -7 2 8 0""",1
"""/ 7 -1 4 2 1""",-0.88
"""- -3 -8 -8 9 4 8 -4""",-4
"""+ 0 8 6 -9 5""",10
"""* 5 9 -2 -5""",450
"""+ 2 -6 -9 0 9""",-4
"""- 3 9 -4 0 7 -6""",-3
"""+ 2 -2 -8 8 -2 1 0""",-1
"""- 4 -2 8 -7 8 -6 -4 6""",1
"""* 4 -5 -4 -6 5 2 -7 8 7""",1881600
"""/ 3 1 -4 -8""",0.09
"""- 5 9 9 -4 -4 7 -5 -8""",1
"""* 4 5 5 -6""",-600
"""+ 2 1 0 8 3""",14
"""/ -1 -2 1""",0.5
"""+ -4 1 -4 2 -1 -2 8 -2 -2""",-4
"""/ 3 1 -9 2 -1 -2 -3""",0.03
"""* -5""",-5
"""+ 0 -4 -3 -4 7 6""",2
"""- -4 5 6 -1 2 -2 -4 -8""",-2
"""- -6 -5 -4 9 8 9 -2 6""",-27
"""- 0 1 -9 7""",1
"""+ 3 4 5 -2 3 -1 5""",17
"""/ -1 -4 7 -1 2""",-0.02
